transaction_text,category
Concert ticket Rs 50,Entertainment
Prescription Apollo Rs 2713,Healthcare
Breakfast from Burger King Rs 62,Food & Dining
Spotify premium Rs 295,Entertainment
Uber trip completed Rs 100,Transportation
Rapido bike ride Rs 115,Transportation
Course fee payment Rs 1900,Education
Cab service Rs 376,Transportation
Hospital bill Rs 2056,Healthcare
Online shopping 1853 rupees,Shopping
Swiggy order delivered Rs 383,Food & Dining
Other expense Rs 708,Others
Uber trip completed Rs 534,Transportation
Metro card recharge Rs 740,Transportation
Online shopping 1926 rupees,Shopping
Dinner at Burger King Rs 930,Food & Dining
Doctor consultation Rs 590,Healthcare
Online payment Rs 604,Others
Gaming purchase Rs 56,Entertainment
Donation Rs 695,Others
Parking fee Rs 500,Transportation
Food delivery 120 rupees,Food & Dining
Online payment Rs 854,Others
Health checkup Rs 1665,Healthcare
Dominos pizza order Rs 647,Food & Dining
Bank charges Rs 939,Others
Big Bazaar bill Rs 1279,Shopping
Concert ticket Rs 522,Entertainment
Pharmacy bill Rs 2594,Healthcare
Meesho purchase Rs 2851,Shopping
Donation Rs 214,Others
Internet bill 1657 rupees,Bills & Utilities
Doctor consultation Rs 2955,Healthcare
Metro card recharge Rs 507,Transportation
Theme park entry Rs 164,Entertainment
Meesho purchase Rs 1860,Shopping
Grocery purchase Rs 1695,Shopping
Stationery 9210 rupees,Education
Rent payment Rs 2148,Bills & Utilities
Big Bazaar bill Rs 2168,Shopping
Miscellaneous payment Rs 485,Others
Auto rickshaw Rs 544,Transportation
Rapido bike ride Rs 219,Transportation
Dinner at Burger King Rs 872,Food & Dining
Rapido bike ride Rs 846,Transportation
UPI transfer Rs 792,Others
Big Bazaar bill Rs 1143,Shopping
Broadband bill Rs 1492,Bills & Utilities
Swiggy order delivered Rs 804,Food & Dining
DTH recharge Rs 1025,Bills & Utilities
Breakfast from KFC Rs 779,Food & Dining
Online class Rs 4005,Education
Udemy course Rs 3194,Education
Metro card recharge Rs 474,Transportation
Service charge Rs 647,Others
Dominos pizza order Rs 805,Food & Dining
Concert ticket Rs 268,Entertainment
Phone bill paid Rs 1190,Bills & Utilities
Swiggy order delivered Rs 465,Food & Dining
Gas cylinder payment Rs 1370,Bills & Utilities
Meesho purchase Rs 915,Shopping
Dental treatment Rs 1334,Healthcare
Lab test payment Rs 1001,Healthcare
Parking fee Rs 133,Transportation
Amazon purchase Rs 2065,Shopping
Swiggy order delivered Rs 589,Food & Dining
Gift purchase Rs 554,Others
Clinic visit Rs 2370,Healthcare
Miscellaneous payment Rs 82,Others
Cab service Rs 155,Transportation
Stationery 7420 rupees,Education
Grocery purchase Rs 2797,Shopping
Cafe Coffee Day bill Rs 508,Food & Dining
Food delivery 997 rupees,Food & Dining
UPI transfer Rs 79,Others
Netflix subscription Rs 844,Entertainment
Hotstar subscription Rs 763,Entertainment
ATM withdrawal Rs 699,Others
Phone bill paid Rs 2995,Bills & Utilities
Dental treatment Rs 1950,Healthcare
Swiggy order delivered Rs 569,Food & Dining
Breakfast from KFC Rs 702,Food & Dining
Netflix subscription Rs 962,Entertainment
Dental treatment Rs 1054,Healthcare
Medicine purchase Rs 2387,Healthcare
Uber trip completed Rs 392,Transportation
Hotstar subscription Rs 107,Entertainment
Tuition fee Rs 3586,Education
Amazon purchase Rs 1897,Shopping
Metro card recharge Rs 202,Transportation
Amazon Prime payment Rs 813,Entertainment
Study material Rs 8061,Education
Big Bazaar bill Rs 665,Shopping
Theme park entry Rs 997,Entertainment
Broadband bill Rs 1402,Bills & Utilities
Book purchase Rs 1751,Education
Miscellaneous payment Rs 281,Others
Service charge Rs 755,Others
Hotstar subscription Rs 214,Entertainment
Metro card recharge Rs 447,Transportation
BookMyShow ticket Rs 729,Entertainment
DMart shopping Rs 1590,Shopping
Zomato - 116 paid,Food & Dining
Bus ticket Rs 140,Transportation
Phone bill paid Rs 1290,Bills & Utilities
Zomato - 100 paid,Food & Dining
Cafe Coffee Day bill Rs 634,Food & Dining
Paid to Reliance Digital store Rs 1649,Shopping
Bank charges Rs 260,Others
Course fee payment Rs 1937,Education
Paid to Reliance Digital store Rs 536,Shopping
Bank charges Rs 343,Others
Pharmacy bill Rs 1919,Healthcare
ATM withdrawal Rs 202,Others
Clinic visit Rs 964,Healthcare
Cab service Rs 76,Transportation
Parking fee Rs 514,Transportation
Doctor consultation Rs 2181,Healthcare
Exam fee Rs 9475,Education
Medical store 1583 rupees,Healthcare
Broadband bill Rs 926,Bills & Utilities
Myntra shopping Rs 2859,Shopping
Swiggy order delivered Rs 448,Food & Dining
College fee Rs 9627,Education
Swiggy order delivered Rs 200,Food & Dining
Rent payment Rs 2653,Bills & Utilities
Online payment Rs 416,Others
Online class Rs 2649,Education
Gas cylinder payment Rs 2112,Bills & Utilities
BookMyShow ticket Rs 309,Entertainment
Coursera subscription Rs 7284,Education
Paid to Reliance Digital store Rs 2591,Shopping
Doctor consultation Rs 2504,Healthcare
Phone bill paid Rs 2578,Bills & Utilities
Myntra shopping Rs 573,Shopping
Electricity bill paid Rs 1033,Bills & Utilities
Spotify premium Rs 572,Entertainment
Medical store 505 rupees,Healthcare
Gaming purchase Rs 675,Entertainment
Coursera subscription Rs 8581,Education
McDonald's payment Rs 360,Food & Dining
Ajio order Rs 1668,Shopping
Dental treatment Rs 2791,Healthcare
Water bill payment Rs 2022,Bills & Utilities
Electricity bill paid Rs 1162,Bills & Utilities
Lab test payment Rs 657,Healthcare
Rapido bike ride Rs 590,Transportation
DMart shopping Rs 895,Shopping
Rent payment Rs 2997,Bills & Utilities
Miscellaneous payment Rs 333,Others
Breakfast from KFC Rs 751,Food & Dining
Study material Rs 3240,Education
Hospital bill Rs 2301,Healthcare
Electricity bill paid Rs 1010,Bills & Utilities
Food delivery 687 rupees,Food & Dining
Maintenance charges Rs 968,Bills & Utilities
Online shopping 1690 rupees,Shopping
Metro card recharge Rs 844,Transportation
Book purchase Rs 3256,Education
Cash withdrawal Rs 299,Others
ATM withdrawal Rs 824,Others
Gaming purchase Rs 488,Entertainment
Hospital bill Rs 1164,Healthcare
Internet bill 964 rupees,Bills & Utilities
Donation Rs 586,Others
Metro card recharge Rs 393,Transportation
Donation Rs 959,Others
Maintenance charges Rs 542,Bills & Utilities
Flipkart order delivered Rs 1979,Shopping
Hotstar subscription Rs 294,Entertainment
Rapido bike ride Rs 288,Transportation
Parking fee Rs 864,Transportation
Paid to Reliance Digital store Rs 701,Shopping
Uber trip completed Rs 532,Transportation
Ajio order Rs 1285,Shopping
Online class Rs 3640,Education
Metro card recharge Rs 793,Transportation
Theme park entry Rs 786,Entertainment
Metro card recharge Rs 280,Transportation
Zomato - 217 paid,Food & Dining
Cafe Coffee Day bill Rs 819,Food & Dining
Online shopping 2279 rupees,Shopping
Meesho purchase Rs 1263,Shopping
Water bill payment Rs 2829,Bills & Utilities
Parking fee Rs 567,Transportation
Internet bill 2347 rupees,Bills & Utilities
Udemy course Rs 6734,Education
Concert ticket Rs 413,Entertainment
College fee Rs 9853,Education
Rent payment Rs 1206,Bills & Utilities
Myntra shopping Rs 1541,Shopping
Big Bazaar bill Rs 2526,Shopping
Other expense Rs 154,Others
Ola ride payment Rs 961,Transportation
Tuition fee Rs 2685,Education
Course fee payment Rs 8190,Education
Online class Rs 1789,Education
Other expense Rs 487,Others
Course fee payment Rs 7032,Education
Stationery 9017 rupees,Education
Phone bill paid Rs 1440,Bills & Utilities
Youtube Premium Rs 516,Entertainment
Doctor consultation Rs 1846,Healthcare
BookMyShow ticket Rs 67,Entertainment
Hospital bill Rs 1979,Healthcare
Big Bazaar bill Rs 1914,Shopping
Food delivery 415 rupees,Food & Dining
Lunch order Burger King Rs 320,Food & Dining
Stationery 7856 rupees,Education
Broadband bill Rs 1903,Bills & Utilities
Movie ticket Rs 465,Entertainment
Ajio order Rs 1359,Shopping
Electricity bill paid Rs 2620,Bills & Utilities
Coursera subscription Rs 5223,Education
Hospital bill Rs 2258,Healthcare
Flipkart order delivered Rs 2700,Shopping
Service charge Rs 353,Others
Dental treatment Rs 2634,Healthcare
UPI transfer Rs 546,Others
Dental treatment Rs 1823,Healthcare
UPI transfer Rs 931,Others
Water bill payment Rs 820,Bills & Utilities
Dental treatment Rs 1239,Healthcare
Big Bazaar bill Rs 947,Shopping
Water bill payment Rs 672,Bills & Utilities
Electricity bill paid Rs 2364,Bills & Utilities
Broadband bill Rs 1900,Bills & Utilities
Online payment Rs 426,Others
Swiggy order delivered Rs 191,Food & Dining
Concert ticket Rs 131,Entertainment
Meesho purchase Rs 1858,Shopping
Hotstar subscription Rs 793,Entertainment
Theme park entry Rs 142,Entertainment
McDonald's payment Rs 453,Food & Dining
Big Bazaar bill Rs 710,Shopping
UPI transfer Rs 971,Others
Concert ticket Rs 259,Entertainment
ATM withdrawal Rs 839,Others
Cash withdrawal Rs 641,Others
Bank charges Rs 581,Others
Online payment Rs 316,Others
Online shopping 708 rupees,Shopping
Parking fee Rs 581,Transportation
Study material Rs 5892,Education
Zomato - 297 paid,Food & Dining
Ola ride payment Rs 986,Transportation
Cash withdrawal Rs 621,Others
DMart shopping Rs 1563,Shopping
Spotify premium Rs 597,Entertainment
Medical store 2182 rupees,Healthcare
Online shopping 2482 rupees,Shopping
Spotify premium Rs 731,Entertainment
Phone bill paid Rs 923,Bills & Utilities
Lab test payment Rs 697,Healthcare
Dinner at Subway Rs 636,Food & Dining
ATM withdrawal Rs 807,Others
Cab service Rs 657,Transportation
Fastag recharge Rs 719,Transportation
BookMyShow ticket Rs 918,Entertainment
Gas cylinder payment Rs 1265,Bills & Utilities
Internet bill 1023 rupees,Bills & Utilities
Lunch order KFC Rs 797,Food & Dining
Cafe Coffee Day bill Rs 546,Food & Dining
Dominos pizza order Rs 56,Food & Dining
DTH recharge Rs 2309,Bills & Utilities
Flipkart order delivered Rs 1415,Shopping
Udemy course Rs 1427,Education
Lab test payment Rs 533,Healthcare
Spotify premium Rs 846,Entertainment
Metro card recharge Rs 225,Transportation
Uber trip completed Rs 831,Transportation
Theme park entry Rs 146,Entertainment
Clinic visit Rs 1677,Healthcare
Coursera subscription Rs 3662,Education
Gas cylinder payment Rs 2773,Bills & Utilities
Food delivery 796 rupees,Food & Dining
Coursera subscription Rs 6802,Education
BookMyShow ticket Rs 142,Entertainment
Prescription MedPlus Rs 1056,Healthcare
Stationery 3679 rupees,Education
Food delivery 269 rupees,Food & Dining
Dental treatment Rs 964,Healthcare
Online payment Rs 708,Others
Myntra shopping Rs 2331,Shopping
BookMyShow ticket Rs 113,Entertainment
Course fee payment Rs 1989,Education
Amazon Prime payment Rs 569,Entertainment
Rent payment Rs 2562,Bills & Utilities
Parking fee Rs 334,Transportation
Youtube Premium Rs 414,Entertainment
Auto rickshaw Rs 846,Transportation
McDonald's payment Rs 784,Food & Dining
Lunch order Burger King Rs 588,Food & Dining
Medical store 2119 rupees,Healthcare
Concert ticket Rs 947,Entertainment
Cash withdrawal Rs 810,Others
Breakfast from Subway Rs 1000,Food & Dining
Coursera subscription Rs 2840,Education
Amazon Prime payment Rs 373,Entertainment
Hospital bill Rs 2406,Healthcare
Lab test payment Rs 948,Healthcare
Mobile recharge Rs 1973,Bills & Utilities
Other expense Rs 628,Others
Ajio order Rs 2909,Shopping
Cab service Rs 922,Transportation
DMart shopping Rs 2926,Shopping
Paid to Reliance Digital store Rs 1287,Shopping
Dominos pizza order Rs 549,Food & Dining
Rapido bike ride Rs 205,Transportation
Stationery 2989 rupees,Education
Lunch order Burger King Rs 766,Food & Dining
Maintenance charges Rs 2689,Bills & Utilities
Swiggy order delivered Rs 392,Food & Dining
Donation Rs 886,Others
Exam fee Rs 9678,Education
Youtube Premium Rs 151,Entertainment
Doctor consultation Rs 1361,Healthcare
College fee Rs 4113,Education
Movie ticket Rs 591,Entertainment
Hotstar subscription Rs 773,Entertainment
Youtube Premium Rs 564,Entertainment
Pharmacy bill Rs 673,Healthcare
UPI transfer Rs 348,Others
Medicine purchase Rs 2562,Healthcare
Other expense Rs 108,Others
Online payment Rs 619,Others
Tuition fee Rs 5135,Education
Pharmacy bill Rs 807,Healthcare
Spotify premium Rs 755,Entertainment
Gas cylinder payment Rs 639,Bills & Utilities
Cafe Coffee Day bill Rs 771,Food & Dining
Hotstar subscription Rs 414,Entertainment
Maintenance charges Rs 2129,Bills & Utilities
Udemy course Rs 8045,Education
Medical store 1623 rupees,Healthcare
Meesho purchase Rs 2439,Shopping
Auto rickshaw Rs 136,Transportation
Cafe Coffee Day bill Rs 771,Food & Dining
Lunch order Burger King Rs 972,Food & Dining
Rapido bike ride Rs 692,Transportation
Youtube Premium Rs 295,Entertainment
Dominos pizza order Rs 740,Food & Dining
Hospital bill Rs 865,Healthcare
Petrol pump IOCL Rs 785,Transportation
Book purchase Rs 2155,Education
Metro card recharge Rs 336,Transportation
Online class Rs 1331,Education
Doctor consultation Rs 2727,Healthcare
Spotify premium Rs 481,Entertainment
Dinner at Burger King Rs 275,Food & Dining
Tuition fee Rs 3092,Education
Uber trip completed Rs 791,Transportation
Lab test payment Rs 623,Healthcare
Electricity bill paid Rs 705,Bills & Utilities
Udemy course Rs 7817,Education
UPI transfer Rs 681,Others
DMart shopping Rs 1868,Shopping
Online class Rs 9004,Education
Cash withdrawal Rs 312,Others
College fee Rs 3701,Education
Theme park entry Rs 403,Entertainment
Metro card recharge Rs 896,Transportation
Auto rickshaw Rs 756,Transportation
Electricity bill paid Rs 813,Bills & Utilities
Broadband bill Rs 944,Bills & Utilities
UPI transfer Rs 986,Others
Internet bill 2773 rupees,Bills & Utilities
Broadband bill Rs 979,Bills & Utilities
Fastag recharge Rs 161,Transportation
Food delivery 553 rupees,Food & Dining
College fee Rs 1926,Education
Netflix subscription Rs 82,Entertainment
Hospital bill Rs 1512,Healthcare
Swiggy order delivered Rs 940,Food & Dining
Coursera subscription Rs 5236,Education
Water bill payment Rs 2346,Bills & Utilities
Medicine purchase Rs 1897,Healthcare
Maintenance charges Rs 966,Bills & Utilities
Medicine purchase Rs 2906,Healthcare
Course fee payment Rs 2359,Education
Clinic visit Rs 772,Healthcare
Course fee payment Rs 4356,Education
Myntra shopping Rs 2206,Shopping
Ajio order Rs 705,Shopping
Broadband bill Rs 1028,Bills & Utilities
Miscellaneous payment Rs 922,Others
Parking fee Rs 568,Transportation
UPI transfer Rs 123,Others
Uber trip completed Rs 898,Transportation
Course fee payment Rs 8269,Education
Spotify premium Rs 715,Entertainment
Ajio order Rs 1007,Shopping
Service charge Rs 914,Others
Cafe Coffee Day bill Rs 790,Food & Dining
Maintenance charges Rs 2416,Bills & Utilities
Petrol pump BPCL Rs 941,Transportation
Meesho purchase Rs 1099,Shopping
Doctor consultation Rs 782,Healthcare
Study material Rs 4203,Education
Grocery purchase Rs 2569,Shopping
